,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
634,Acer,Swift Go 14 NX.KG3SI.005 Laptop,54990,60,7th Gen AMD Ryzen 5  7530U,16GB,SSD,14,1920,1080,Windows 11 OS
636,HP,Spectre 17-cs0097nr Foldable Laptop,415000,67,12th Gen Intel Core i7 1250U,16GB,SSD,17,1920,2560,Windows 11 OS
642,HP,Victus 15-fb1016AX  Gaming Laptop,56990,67,7th Gen AMD Ryzen 5 7535HS,8GB,SSD,15.6,1920,1080,Windows 11 OS
647,HP,250 G9 7N179PA Laptop,50990,69.32352941,12th Gen Intel Core i5 1235U,8GB,SSD,15.6,1366,768,Windows 11 OS
652,HP,255 G9 841W6PA Laptop,26990,69.32352941,3rd Gen AMD Ryzen 3  3250U,8GB,SSD,15.6,1366,768,DOS 3.0 OS
661,HP,240 G9 ALC 7M658PA Laptop,64800,69.32352941,12th Gen Intel Core i5 1235U,8GB,SSD,14,1366,768,DOS OS
666,HP,250 G9 7M659PA Laptop,42900,62,12th Gen Intel Core i3 1215U,8GB,SSD,15.6,1366,768,Windows 11 OS
675,HP,Victus 15-fb1015AX Gaming Laptop,55990,69,7th Gen Amd Ryzen 5 7535HS,8GB,SSD,15.6,1920,1080,Windows 11 OS
683,Acer,TMP214-41-G3 UN.VSQSI.007 Notebook,39990,63,5th Gen AMD Ryzen 5 5500U,16GB,SSD,14,1366,768,Windows 11 OS
684,Acer,TMP214-41-G3 UN.VSQSI.006 Notebook,36990,60,5th Gen AMD Ryzen 5 5500U,8GB,SSD,14,1366,768,Windows 11 OS
687,HP,Omen 16-xf0043AX Gaming Laptop,179490,78,7th Gen AMD Ryzen 9 7940HS,32GB,SSD,16.1,2560,1440,Windows 11 OS
692,HP,Victus 15-fb1018AX Gaming Laptop,58990,63,7th Gen Amd Ryzen 5 7535HS,8GB,SSD,15.6,1920,1080,Windows 11 OS
696,Acer,Aspire 3 Spin 14 NX.KENSI.002 Laptop,39900,69.32352941,Intel Core i3 N305,8GB,SSD,14,1920,1200,Windows 11 OS
708,HP,Victus 15-FB0142AX Gaming Laptop,69199,71,5th Gen AMD Ryzen 5 5600H,16GB,SSD,15.6,1920,1080,Windows 11 OS
714,HP,Victus  15-fa1060TX  Gaming Laptop,116463,71,13th Gen Intel Core i5 13500H,16GB,SSD,15.6,1920,1080,Windows 11 OS
715,HP,Victus 15-fa1064TX Gaming Laptop,109990,72,13th Gen Intel Core i7 13700H,16GB,SSD,15.6,1920,1080,Windows 11 OS
716,HP,Omen 16-wf0052TX Gaming Laptop,153625,75,13th Gen Intel Core i5 13500HX,16GB,SSD,16.1,1920,1080,Windows 11 OS
717,HP,Omen 16-u0023TX Gaming Laptop,270129,86,13th Gen Intel Core i9 13900HX,32GB,SSD,16.1,2560,1600,Windows 11 OS
720,HP,Envy x360 13-bf0141tu Laptop,107190,67,12th Gen Intel Core i7 1250U,16GB,SSD,13.3,2880,1800,Windows 11 OS
